"EJERCICIO","NOMBRE_INSTITUCION","CLAVE_PARTIDA","NUM_CONTRATO","DONATARIO","FECHA_CELEBRACION","MONTO_CONTRATO","FECHA_CONCLUSION","OBJETO_DONATIVO","TIPO_ACTIVIDADES_FINANCIAR","MONTO_OTORGADO"
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","1","ALIMENTANDO MENTES BRILLANTES",31/05/12,114000,07/12/12,"EDUCACIÓN NUTRICIONAL PARA NIÑAS MADRE DE IZTAPALAPA, PREVENTIVA DEL SOBRE PESO, OBESIDAD Y DESNUTRICIÓN DE ELLAS Y SUS HIJOS.","SALUD",114000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","10","ASOCIACIÓN DURANGUENSE DE DIABETES TIPO 1",31/05/12,204500,28/02/13,"EN DIABETES, EL CONTROL ES VIDA.","SALUD",204500
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","100","LA CASA DE LA SAL",31/05/12,100000,30/11/12,"BRINDAR ATENCIÓN ALIMENTICIA Y MÉDICA PARA NIÑOS, NIÑAS Y ADOLESCENTES QUE VIVEN CON VIH/SIDA.","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","101","LA CASITA DE SAN ANGEL",31/05/12,120000,18/12/12,"REHABILITACION MOTRIZ CON ENFOQUE PRODUCTIVO.","SALUD",120000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","102","LLUVIAS DE AGUA VIVA",29/06/12,120000,30/12/12,"ATENCIÓN PROFESIONAL DE DESINTOXICACIÓN INNOVADORA PARA 300 PERSONAS CON PROBLEMAS DE ADICCIÓN.","SALUD",120000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","103","MACHINCUEPA CIRCO SOCIAL",31/05/12,100000,15/12/12,"DISPOSITIVOS DE ACTIVACIÓN FÍSICA PARA PREVENIR LA OBESIDAD Y SOBREPESO INFANTIL, A TRAVÉS DEL CIRCO SOCIAL EN 4 ESCUELAS SECUNDARIAS PÚBLICAS.","SALUD",100000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","104","MEDICINA Y ASISTENCIA SOCIAL",31/05/12,165000,30/01/13,"MEJORANDO LA CALIDAD DE VIDA DE PACIENTES INDÍGENAS CON SÍNDROME METABÓLICO, EN TLAPA DE COMONFORT, GUERRERO.","SALUD",165000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","105","MESÓN DE LA MISERICORDIA DIVINA",29/06/12,2000000,31/12/12,"ATENCIÓN INTEGRAL Y PREVENCIÓN DEL VIH Y SIDA EN JALISCO: UNA RESPUESTA A LOS DESAFÍOS DEL VIH Y SIDA.","SALUD",2000000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","106","METAMORFOSIS GLOBAL",29/06/12,189000,31/05/13,"TRATAMIENTOS PERSONALIZADOS PARA LA ATENCIÓN Y REHABILITACION DE PACIENTES ABANDONADOS Y CON DISCAPACIDAD MENTAL, EN LA REGIÓN DE XOCHIMILCO, DISTRITO FEDERAL.","SALUD",189000
"2012","ADMINISTRACIÓN DEL PATRIMONIO DE LA BENEFICIENCIA PÚBLICA","48101","107","MI GRAN ESPERANZA",31/05/12,1000000,31/12/12,"ESPERANZA, SALUD Y VIDA PARA NUESTROS NIÑOS CON CÁNCER.","SALUD",1000000
