,Anou,Tipo,Contrato,sector,Monto
27,2012,48101,123,SALUD,117184
28,2012,48101,124,SALUD,144000
29,2012,48101,125,SALUD,139500
30,2012,48101,126,SALUD,130000
200,2012,48101,IMC-168/2012,CULTURALES,600000
201,2012,48101,IMC-169/2012,CULTURALES,600000
202,2012,48101,IMC-189/2012,CULTURALES,800000
203,2012,48101,IMC-192/2012,CULTURALES,150000
204,2012,48101,IMC-208/2012,CULTURALES,9000000
205,2012,48101,IMC-209/2012,CULTURALES,750000
206,2012,48101,IMC-210/2012,CULTURALES,2500000
207,2012,48101,IMC-249/2012,CULTURALES,300000
208,2012,48101,IMC-253/2012,CULTURALES,800000
209,2012,48101,IMC-258/2012,CULTURALES,1500000
210,2012,48101,IMC-263/2012,CULTURALES,300000
211,2012,48101,IMC-329/2012,CULTURALES,450000
212,2012,48101,IMC-350/2012,CULTURALES,350000
213,2012,48101,IMC-351/2012,CULTURALES,1000000
214,2012,48101,IMC-409/2012,CULTURALES,500000
215,2012,48101,IMC-536/2012,CULTURALES,200000
216,2012,48201,IMC-261/2012,CULTURALES,300000
217,2012,48201,IMC-302/2012,CULTURALES,300000
218,2012,48201,IMC-673/2012,CULTURALES,1000000
224,2012,48101,CSPA/171/2012,CULTURALES,55000
227,2012,48101,200.CNC.01.DAJ.17/2012,CULTURALES,147375
228,2012,48101,200.CNC.03.DAJ.23/2012,CULTURALES,37196
229,2012,48101,221.CMNO.01.DAJ.3012012,CULTURALES,10000
230,2012,48101,221.CMNO.03.DAJ.3812012,CULTURALES,150000
231,2012,48101,221.CNC.02.DAJ.34/2012,CULTURALES,25000
232,2012,48101,222.CNC.04DAJ.76/2012,CULTURALES,80000
233,2012,48101,222.CNC.06.DAJ.98,CULTURALES,69229
234,2012,48101,222.CNC.60.DAJ.310/2012,CULTURALES,75000
235,2012,48101,300 CNC 01 DAJ 18/2012,CULTURALES,692400
236,2012,48101,300 CNC 02 DAJ 21/2012,CULTURALES,50000
237,2012,48101,530.CMNC.01.DAJ.55/2012,CULTURALES,500000
238,2012,48101,530.CM.03.DAJ.81/2012,CULTURALES,2206151
239,2012,48101,534.CCB.02.DAJ21/2012,CULTURALES,777620
240,2012,48201,222.CLB.02.DAJ.20/2011,CULTURALES,200000
292,2012,48501,Acuerdo No. INMJG12012463 ,NO TIENE ACTIVIDAD A FINANCIAR,127333
293,2012,48501,Acuerdo No.INMJG1201455 ,NO TIENE ACTIVIDAD A FINANCIAR,197787
294,2012,48101,002/2012,OTRAS,9000000
295,2012,48101,003/2012,EDUCATIVAS,1000000
296,2012,48101,005/2012 ,SALUD,1500000
297,2012,48101,021/2012,SALUD,2000000
298,2012,48101,022/2012,EDUCATIVAS,347081
299,2012,48101,023/2012,SALUD,400000
300,2012,48101,024/2012 ,SALUD,1000000
301,2012,48101,027/2012,EDUCATIVAS,2000000
302,2012,48101,029/2013,OTRAS,8500000
303,2012,48101,039/2012,OTRAS,4000000
304,2012,48101,040/2012,NO TIENE ACTIVIDAD A FINANCIAR,5500000
305,2012,48201,001/2012,OTRAS,30000000
306,2012,48201,012/2012,OTRAS,8000000
307,2012,48201,013/2012,NO TIENE ACTIVIDAD A FINANCIAR,7852919
308,2012,48201,014/2012,NO TIENE ACTIVIDAD A FINANCIAR,2000000
309,2012,48201,015/2012,NO TIENE ACTIVIDAD A FINANCIAR,2000000
310,2012,48201,016/2012,BENEFICENCIA,3000000
311,2012,48201,017/2012,NO TIENE ACTIVIDAD A FINANCIAR,500000
312,2012,48201,025/2012,OTRAS,14000000
313,2012,48201,026/2012,OTRAS,2000000
314,2012,48201,030/2012,OTRAS,76000000
315,2012,48201,031/2012,NO TIENE ACTIVIDAD A FINANCIAR,8000000
316,2012,48201,032/2012,NO TIENE ACTIVIDAD A FINANCIAR,9000000
317,2012,48201,033/2012,NO TIENE ACTIVIDAD A FINANCIAR,12000000
318,2012,48201,034/2012,NO TIENE ACTIVIDAD A FINANCIAR,30000000
319,2012,48201,035/2012,NO TIENE ACTIVIDAD A FINANCIAR,1500000
320,2012,48201,036/2012,NO TIENE ACTIVIDAD A FINANCIAR,10000000
321,2012,48201,037/2012,CULTURALES,1000000
322,2012,48201,038/2012,NO TIENE ACTIVIDAD A FINANCIAR,7500000
323,2012,48201,041/2012,NO TIENE ACTIVIDAD A FINANCIAR,106000000
324,2012,48201,042/2012,NO TIENE ACTIVIDAD A FINANCIAR,2700000
325,2012,48201,043/2012,NO TIENE ACTIVIDAD A FINANCIAR,3000000
326,2012,48201,044/2012,NO TIENE ACTIVIDAD A FINANCIAR,70000000
327,2012,48201,046/2012,NO TIENE ACTIVIDAD A FINANCIAR,3000000
328,2012,48201,047/2012,OTRAS,5000000
329,2012,48201,048/2012,CULTURALES,700000
330,2012,48101,CM/CNCA/CNDCI/CD/02258/12,CULTURALES,1000000
331,2012,48101,CNCA/CENART/CD/01246/12,CULTURALES,2700000
332,2012,48101,CNCA/CENART/CD/01247/12,CULTURALES,600000
333,2012,48101,CNCA/CENART/CD/01533/12,CULTURALES,1000000
334,2012,48101,CNCA/CENART/CD/02166/12,CULTURALES,1000000
335,2012,48101,CNCA/CENART/CD/04547/12,CULTURALES,1000000
336,2012,48101,CNCA/CENART/CD/04548/12,CULTURALES,300000
337,2012,48101,CNCA/CENART/CD/04549/12,CULTURALES,250000
338,2012,48101,CNCA/CENART/CD/04550/12,CULTURALES,1000000
339,2012,48101,CNCA/CENART/CD/04551/12,CULTURALES,500000
340,2012,48101,CNCA/CNDCI/CD/02861/12,CULTURALES,1000000
341,2012,48101,CNCA/CNDCI/CD/02864/12,CULTURALES,1000000
342,2012,48101,CNCA/CNDCI/CD/03242/12 ,CULTURALES,1500000
343,2012,48101,CNCA/DGA/CD/001060/12,CULTURALES,2000000
344,2012,48101,CNCA/DGA/CD/00539/12,CULTURALES,5000000
345,2012,48101,CNCA/DGA/CD/00540/12,CULTURALES,20000000
346,2012,48101,CNCA/DGA/CD/00620/12,CULTURALES,100000000
347,2012,48101,CNCA/DGA/CD/00633/12,CULTURALES,9000000
348,2012,48101,CNCA/DGA/CD/00652/12,CULTURALES,14500000
349,2012,48101,CNCA/DGA/CD/00653/12,CULTURALES,1000000
350,2012,48101,CNCA/DGA/CD/00769/12,CULTURALES,8000000
351,2012,48101,CNCA/DGA/CD/00839/12,CULTURALES,3000000
352,2012,48101,CNCA/DGA/CD/00849/12,EDUCATIVAS,2871768
353,2012,48101,CNCA/DGA/CD/00850/12,EDUCATIVAS,2100000
354,2012,48101,CNCA/DGA/CD/00928/12,CULTURALES,15000000
355,2012,48101,CNCA/DGA/CD/01025/12,CULTURALES,1500000
356,2012,48101,CNCA/DGA/CD/01026/12,CULTURALES,1000000
357,2012,48101,CNCA/DGA/CD/01027/12,CULTURALES,1000000
358,2012,48101,CNCA/DGA/CD/01042/12,CULTURALES,1000000
359,2012,48101,CNCA/DGA/CD/01043/12,CULTURALES,2000000
360,2012,48101,CNCA/DGA/CD/01044/12,CULTURALES,3000000
361,2012,48101,CNCA/DGA/CD/01045/12,CULTURALES,500000
362,2012,48101,CNCA/DGA/CD/01244/12,CULTURALES,2000000
363,2012,48101,CNCA/DGA/CD/01288/12,CULTURALES,8550000
364,2012,48101,CNCA/DGA/CD/01289/12,CULTURALES,6200000
365,2012,48101,CNCA/DGA/CD/01302/12,CULTURALES,3000000
366,2012,48101,CNCA/DGA/CD/01303/12,CULTURALES,2000000
367,2012,48101,CNCA/DGA/CD/01304/12,CULTURALES,2500000
368,2012,48101,CNCA/DGA/CD/01327/12,CULTURALES,2000000
369,2012,48101,CNCA/DGA/CD/01331/12,CULTURALES,2000000
370,2012,48101,CNCA/DGA/CD/01338/12,CULTURALES,35000000
371,2012,48101,CNCA/DGA/CD/01402/12,CULTURALES,10000000
372,2012,48101,CNCA/DGA/CD/01534/12,CULTURALES,8000000
373,2012,48101,CNCA/DGA/CD/01536/12,CULTURALES,1296113
374,2012,48101,CNCA/DGA/CD/01549/12,CULTURALES,1000000
375,2012,48101,CNCA/DGA/CD/01587/12,CULTURALES,500000
376,2012,48101,CNCA/DGA/CD/01588/12,CULTURALES,5200000
377,2012,48101,CNCA/DGA/CD/01589/12,CULTURALES,500000
378,2012,48101,CNCA/DGA/CD/01590/12,CULTURALES,500000
379,2012,48101,CNCA/DGA/CD/01591/12,CULTURALES,2000000
380,2012,48101,CNCA/DGA/CD/01592/12,CULTURALES,500000
381,2012,48101,CNCA/DGA/CD/01603/12,CULTURALES,2500000
382,2012,48101,CNCA/DGA/CD/01604/12,CULTURALES,1700000
383,2012,48101,CNCA/DGA/CD/01605/12,CULTURALES,18800000
384,2012,48101,CNCA/DGA/CD/01620/12,CULTURALES,4000000
385,2012,48101,CNCA/DGA/CD/01669/12,CULTURALES,1000000
386,2012,48101,CNCA/DGA/CD/01677/12,CULTURALES,2000000
387,2012,48101,CNCA/DGA/CD/01678/12,CULTURALES,4000000
388,2012,48101,CNCA/DGA/CD/01679/12,CULTURALES,5000000
389,2012,48101,CNCA/DGA/CD/01749/12,CULTURALES,3200000
390,2012,48101,CNCA/DGA/CD/01750/12,CULTURALES,3000000
391,2012,48101,CNCA/DGA/CD/01767/12,CULTURALES,5000000
392,2012,48101,CNCA/DGA/CD/01821/12,CULTURALES,1000000
393,2012,48101,CNCA/DGA/CD/01854/12,CULTURALES,2000000
394,2012,48101,CNCA/DGA/CD/01855/12,CULTURALES,4000000
395,2012,48101,CNCA/DGA/CD/01856/12,CULTURALES,3000000
396,2012,48101,CNCA/DGA/CD/01858/12,CULTURALES,2500000
397,2012,48101,CNCA/DGA/CD/01860/12,CULTURALES,2500000
398,2012,48101,CNCA/DGA/CD/01874/12,CULTURALES,2000000
399,2012,48101,CNCA/DGA/CD/01875/12,CULTURALES,3000000
400,2012,48101,CNCA/DGA/CD/01879/12,CULTURALES,3000000
402,2012,48101,CNCA/DGA/CD/01955/12,CULTURALES,1500000
403,2012,48101,CNCA/DGA/CD/01993/12,CULTURALES,37600000
404,2012,48101,CNCA/DGA/CD/02281/12,CULTURALES,1000000
405,2012,48101,CNCA/DGA/CD/02282/12,CULTURALES,8000000
406,2012,48101,CNCA/DGA/CD/02283/12,CULTURALES,2500000
407,2012,48101,CNCA/DGA/CD/02284/12,CULTURALES,1880000
408,2012,48101,CNCA/DGA/CD/02292/12,CULTURALES,4000000
409,2012,48101,CNCA/DGA/CD/02442/12,EDUCATIVAS,1850000
410,2012,48101,CNCA/DGA/CD/02447/12,CULTURALES,1000000
411,2012,48101,CNCA/DGA/CD/02449/12,CULTURALES,500000
412,2012,48101,CNCA/DGA/CD/02472/12,CULTURALES,2000000
413,2012,48101,CNCA/DGA/CD/02480/12,CULTURALES,2068000
414,2012,48101,CNCA/DGA/CD/02536/11,CULTURALES,2000000
415,2012,48101,CNCA/DGA/CD/02585/12,CULTURALES,2000000
416,2012,48101,CNCA/DGA/CD/02588/12,CULTURALES,5920000
417,2012,48101,CNCA/DGA/CD/02590/12,CULTURALES,2820000
418,2012,48101,CNCA/DGA/CD/0259/12,CULTURALES,940000
419,2012,48101,CNCA/DGA/CD/02592/12,CULTURALES,700000
420,2012,48101,CNCA/DGA/CD/02593/12,CULTURALES,3760000
422,2012,48101,CNCA/DGA/CD/02594/12,CULTURALES,10000000
423,2012,48101,CNCA/DGA/CD/02607/12,CULTURALES,8000000
424,2012,48101,CNCA/DGA/CD/02609/12,CULTURALES,11280000
425,2012,48101,CNCA/DGA/CD/02667/12,CULTURALES,5000000
426,2012,48101,CNCA/DGA/CD/02686/12,CULTURALES,2500000
427,2012,48101,CNCA/DGA/CD/02687/12,CULTURALES,1500000
428,2012,48101,CNCA/DGA/CD/02688/12,CULTURALES,1000000
429,2012,48101,CNCA/DGA/CD/02689/12,CULTURALES,1000000
430,2012,48101,CNCA/DGA/CD/02800/12,CULTURALES,5000000
431,2012,48101,CNCA/DGA/CD/02820/12,CULTURALES,1000000
432,2012,48101,CNCA/DGA/CD/02821/12,CULTURALES,2000000
